subject_id,GEV,Duration_1,Duration_2,Duration_3,Duration_4,Duration_avg,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_avg,Coverage_1,Coverage_2,Coverage_3,Coverage_4,Transition_1*to*1,Transition_1*to*2,Transition_1*to*3,Transition_1*to*4,Transition_2*to*1,Transition_2*to*2,Transition_2*to*3,Transition_2*to*4,Transition_3*to*1,Transition_3*to*2,Transition_3*to*3,Transition_3*to*4,Transition_4*to*1,Transition_4*to*2,Transition_4*to*3,Transition_4*to*4
../gyj/all/PreRefilt_ndyx6187-eyeclose.set,0.6041581620026625,0.05655023923444976,0.03678113207547169,0.04341014332965821,0.05421311475409836,0.047738657348419505,5.879663818264937,7.455076133206737,6.379013257375954,2.1450926609698633,20.947384269765333,0.3325267985257294,0.27423121289705427,0.2769392004051431,0.11630278817207326,0.0,0.15993563958165727,0.08479485116653258,0.02429605792437651,0.15398230088495576,0.0,0.1602574416733709,0.02687047465808528,0.08913917940466613,0.15575221238938053,0.0,0.046983105390185034,0.02590506838294449,0.025422365245374095,0.04666130329847144,0.0
../gyj/all/PreRefilt_ndyx349-eyeclose.set,0.4964041296892497,0.05534826254826255,0.04003249475890985,0.05009053007742704,0.055678638941398864,0.05028748158149958,4.949435496816308,7.292295697239782,6.417067335254504,2.0218157357651174,19.885664752953012,0.2739761633551721,0.2919644973128349,0.32147362144227754,0.11258571788971539,0.0,0.14935304990757856,0.06950092421441774,0.020517560073937152,0.14602587800369685,0.0,0.18521256931608132,0.021256931608133085,0.07504621072088724,0.17948243992606286,0.0,0.05582255083179297,0.018299445471349353,0.023844731977818855,0.05563770794824399,0.0
../gyj/all/PreRefilt_ndyx310-eyeclose.set,0.6743502673875342,0.06377777777777778,0.052646451612903225,0.051464723926380365,0.08461538461538462,0.0631260844831115,3.8486768356984498,6.43522016756483,5.413888450648089,1.6191844292582476,15.841312005776885,0.24548859380320054,0.3388308959698381,0.2786566680784275,0.13702384214853386,0.0,0.15467625899280577,0.04988009592326139,0.017745803357314148,0.14940047961630695,0.0,0.20239808153477218,0.01990407673860911,0.0618705035971223,0.1947242206235012,0.0,0.05587529976019184,0.01079136690647482,0.022302158273381296,0.060431654676258995,0.0
../gyj/all/PreRefilt_ndyx61054a-eyeclose.set,0.5777273783997567,0.060596958174904944,0.044355916892502255,0.049079310344827584,0.051434173669467786,0.051366589770425644,5.302169924801925,7.439166168258215,5.846499156625697,1.1995403442042378,19.4679071448841,0.3213255999946234,0.33000208343134424,0.2869691450538668,0.0617031715201656,0.0,0.17425271739130435,0.08016304347826086,0.013417119565217392,0.17900815217391305,0.0,0.18155570652173914,0.01545516304347826,0.07625679347826086,0.18766983695652173,0.0,0.03158967391304348,0.012737771739130434,0.014096467391304348,0.03379755434782609,0.0
../gyj/all/PreRefilt_ndyx1027-eyeclose.set,0.5646902337930644,0.0611764705882353,0.04022871287128713,0.046126613398893665,0.052742382271468144,0.05006854478247107,5.688282138794085,7.510019555793497,6.048911790730703,1.3421371582383428,19.97261962265176,0.34802007808142776,0.30214538018219,0.27904071388733964,0.07079382784904258,0.0,0.16940581542351454,0.09048221058334838,0.01643489254108723,0.17699115044247787,0.0,0.17139245078562398,0.01643489254108723,0.0841610980675456,0.17735235687195233,0.0,0.03232797543796279,0.014990066823189452,0.018060321473722232,0.03196676900848835,0.0
../gyj/all/PreRefilt_ndyx15339a-eyeclose.set,0.5550381024100866,0.05100226244343892,0.042301886792452836,0.045870855148342056,0.04404651162790697,0.04580537900303519,6.273507912852176,7.710595415513448,6.099638066851182,1.678376268540203,21.83149712468785,0.32000851728298674,0.3262190361274753,0.2798353325289233,0.07393711406061466,0.0,0.17465753424657535,0.0931180691454664,0.02054794520547945,0.17465753424657535,0.0,0.15639269406392695,0.023320287018917155,0.09279191128506196,0.1542726679712981,0.0,0.033105022831050226,0.020874103065883887,0.025440313111545987,0.030821917808219176,0.0
../gyj/all/PreRefilt_ndyx61048a-eyeclose.set,0.6436562681223191,0.06154157628344179,0.04601608325449385,0.05147942028985507,0.06295890410958904,0.055498995984344934,4.628297201603673,7.0746350572597,5.772821889201978,1.4657947753451979,18.01834397656632,0.2848765597386601,0.32559711883468107,0.2972272800299898,0.09229904139666899,0.0,0.16009895741297048,0.07050715674147376,0.013783353949461036,0.16433998939742003,0.0,0.18943276197207987,0.019614772928079165,0.06661954408906168,0.1942039229545856,0.0,0.044000706838664076,0.013429934617423573,0.019084643930022974,0.04488425516875773,0.0
../gyj/all/PreRefilt_ndyx652-eyeclose.set,0.747763172809897,0.04988679245283018,0.03710663683818046,0.07678669558929863,0.1180089552238806,0.07044727002604746,2.8931183813093635,4.880090250736926,5.032934240692892,2.4382255540594633,14.195014223123989,0.14438514354781165,0.18115493552544396,0.3866143394907566,0.2878455814359878,0.0,0.1227316141356256,0.047516714422158546,0.019579751671442217,0.12822349570200572,0.0,0.1669054441260745,0.025071633237822348,0.04250238777459408,0.17239732569245464,0.0,0.11532951289398281,0.019102196752626553,0.024832855778414518,0.11580706781279847,0.0
../gyj/all/PreRefilt_ndyx15408a-eyeclose.set,0.6304309865276913,0.058163548163548164,0.03963977676306443,0.05406767371601209,0.0605945945945946,0.05311639830930482,5.181998391174442,7.078114226614572,5.943317628131464,1.59446104343829,18.826577701613893,0.3014228970787873,0.28059300546605087,0.32136213125704804,0.09662196619811382,0.0,0.16309869375907113,0.08254716981132075,0.015965166908563134,0.1663642960812772,0.0,0.1721698113207547,0.019049346879535557,0.07873730043541365,0.17597968069666184,0.0,0.04553701015965167,0.016690856313497822,0.018505079825834544,0.045355587808417995,0.0
../gyj/all/PreRefilt_ndyx1023-eyeclose.set,0.5672332576624928,0.07885550082101807,0.04961909547738694,0.04442134062927496,0.0630455764075067,0.058985378333796676,4.298934795959425,7.023711201936991,5.16013355639793,1.316504662473617,16.95335400480144,0.33908800768231373,0.3486061684460261,0.22928317234367057,0.0830226515279896,0.0,0.18623562078540262,0.04522015073383578,0.010115033716779055,0.18068226894089648,0.0,0.19674732249107496,0.01725505751685839,0.05156683855612852,0.1915906386354621,0.0,0.04660848869496231,0.009123363744545815,0.016858389527965093,0.047996826656088856,0.0
